Company,Detail,Website
Act-on,Marketing automation for mid-sized companies,https://www.act-on.com/
Alert GPS,GPS enabled wearable device with automatic alert capabilities,http://alertgps.com/
Aspen Systems,Financial management software for food industry,http://www.aspen-systems.com
assisTek,Mobile patient records for clinical trial assessment,http://www.assistek.com/
Atlas AI,Open source marketing AI and customer analysis platform,https://askatlas.ai/
Auxana,Marketplace platform of outsourced legal counsels with flat-fee programs,http://www.auxana.co
AVGG,Animal video gifts and greeting cards,https://www.avggsend.com/
Axosoft,Project management software for software developers,https://www.axosoft.com/
BayIQ,Full marketing suite for the automotive service and repair industry,http://www.bayiq.com
,None,https://gregslist.com/phoenix/partner/user10/
BillingTree,"Integrated payment solutions for healthcare, businesses, and industries",https://mybillingtree.com/
Birdytell,Gift delivery platform for locally-curated products,https://www.birdytell.com
Black Pearl Network,Corporate email campaign and analytics platform,https://www.blackpearlmail.com/
Botco.ai,Conversational marketing platform,http://botco.ai/
Bravo Pay,Mobile app for cashless tipping and payments,http://www.bravopay.io
ChangeSync,Organizational change management software,https://changesync.com/
Code Technology,Patient outcome tracking for healthcare providers,https://www.codetechnology.com/
CyberScout (formerly IDT911),IT and data security tools and services,http://cyberscout.com/
Dealty,Digital platform for buying and selling homes,http://www.yourdealty.com/
,None,https://gregslist.com/phoenix/partner/osborn-maledon/
Digital Air Strike,Digital marketing management tools for small businesses,http://digitalairstrike.com/
Digitile,Search engine for company documents,https://digitile.io/
Docutech,Enterprise document mgt. for financial services companies,http://www.docutech.com/
Dovly,AI-powered credit repair and dispute resolution platform,https://www.dovly.com
Dynamynd,Instinct-based solutions for personal mental wellness,http://dynamynd.com/
Edgenuity,Online education platform,http://www.edgenuity.com/
Effortless HR,Compliance focused HR SaaS platform,https://www.effortlesshr.com/
Eldersense,Marketing platform for elder care homes,https://eldersense.com/
Emagine Solutions Technology (Vistascan),Mobile ultrasound imaging technology,http://www.emaginesolutionstech.com
,None,https://gregslist.com/phoenix/partner/founders-workshop/
eTrack Tech,IoT predictive maintenance for industrial facilities,http://www.etracktech.com/
Find Your Influence,Influencer marketing platform,http://www.findyourinfluence.com/Home
Front,Corporate email alternative,https://frontapp.com/
GlobalTranz,Freight brokerage and trucking logistics,https://www.globaltranz.com/
GraphLock,Scientific calculator mobile app,https://graphlock.com/
Happy Hired,Marketplace of home health care workers,https://happyhired.com/
HardHats,On-demand hiring of construction workers and contractors,http://hirehardhats.com/
Hopjax,Mental health practice management platform,https://hopjax.com/
Houzz,"Platform for home remodeling, improvement, design",http://www.houzz.com/
,None,https://gregslist.com/phoenix/partner/greater-phoenix-economic-council/
HR Company Store,Vendor rating website for human resources professionals,https://www.hrcompanystore.com/
IBM,Open source software for enterprise,https://www.ibm.com/us-en/?lnk=m
ICM Document Solutions,Document management and workflow software,https://www.icmdocs.com/
Invoy Technologies,Personalized nutrition analysis system,https://www.invoy.com/
I’ve Been Vetted,Employee risk and compliance mitigation software,http://ivebeenvetted.com/
JobDocs,Online management of certification and job-related documents,https://jobdocs.net
LeafOps,Seed to sale dispensary management,https://leafops.com
Meal Plan Ninja,Meal planning and grocery list automation,https://mealplanninja.com/
MenoLabs,"Digital communities, health tracking tech and supplements for menopause",https://Menolabs.com
,None,https://gregslist.com/phoenix/partner/az-cowork/
Namescape,Secure automation for Microsoft’s Active Directory,http://www.namescape.com/
NetworkingPhoenix,Event discovery platform for networking events in Greater Phoenix,https://www.networkingphoenix.com/
Offervana,iBuying virtual real estate aggregator for home sellers,http://www.offervana.com/
OYE! Business Intelligence,Hispanic data and analytics software for marketing,http://oyeintelligence.com/
PetExec,Pet grooming and daycare business management software,https://petexec.net/
Pipeline AZ,Career and job platform for Phoenix businesses,https://pipelineaz.com/
Profit Finder Pro,Small business sales management software,http://www.profitfinderpro.com/
Prooven,Education and employment claims verification,http://www.prooven.io/
Pyx Health,Platform connecting family members and health care recipients,https://www.pyxhealth.com/
,None,https://gregslist.com/phoenix/partner/uprecruit/
RexPay,Medical bill management and payment app,https://rexpay.com/
SAP,ERP and business management software,https://www.sap.com/products/business-one.html
Scratch,Surcharging platform for credit card payments,https://scratch.software/
Shepherd Software,Clinic management software for veterinarians,https://shepherdapp.com/
Shiftx,Employee scheduling software for airline industry,http://shiftx.ai/
SimpliBuzz,Social media command platform for small businesses,https://www.simplibuzz.com/
SLP Toolkit,Software for school-based speech language pathologists,http://www.slptoolkit.com
Smile Virtual,Virtual dental consult platform for cosmetic dentists,https://www.smilevirtual.com/
Solera Health,Preventive health marketplace platform for non-clinical providers,http://soleranetwork.com/
,None,https://gregslist.com/phoenix/partner/benifit/
Support My Club,Donor platform for high schools clubs and sports teams,http://www.supportmyclub.org
Televeda,Live-streamed body and brain fitness programs to older adults,https://www.televeda.com/
Ticketforce,Ticketing and box office platform for entertainment venues,https://www.ticketforce.com/
TM Cloud,Trademark and patent tracking software for large companies,https://tmcloud.com/
Traklight,Business risk and IP mgt. software,http://www.traklight.com/
TRIMS Software,Grounds management software for golf courses,http://trims.com/
vCandidates,Recruiting platform for outplaced employees and recruiters,https://vcandidates.com/
Weave Education,Assessment and accreditation platform for universities,http://weaveeducation.com/
WebPT,Electronic medical records software and billing for physical therapists,https://www.webpt.com/
